project_id,window_id,from_tag,to_tag,developer_rows_all,developer_rows_human,developer_rows_bot,unique_authors_all,unique_authors_human,total_commits_all,total_commits_human,total_commits_bot,bot_commit_share,total_churn_all,total_churn_human,total_churn_bot,bot_churn_share,bot_has_max_commits,bot_has_max_churn,bot_identities
click,click_W01,8.1.6,8.1.7,5,4,1,5,4,8,7,1,0.125000,69,63,6,0.086957,False,False,pre-commit-ci[bot]
click,click_W02,8.1.7,8.1.8,20,19,1,20,19,62,60,2,0.032258,3227,3197,30,0.009297,False,False,pre-commit-ci[bot]
click,click_W03,8.1.8,8.2.0,27,24,3,27,24,152,105,47,0.309211,12011,11781,230,0.019149,True,False,dependabot[bot];pre-commit-ci-lite[bot];pre-commit-ci[bot]
click,click_W04,8.2.0,8.2.1,8,8,0,8,8,18,18,0,0.000000,2912,2912,0,0.000000,False,False,
click,click_W05,8.2.1,8.2.2,16,15,1,16,15,50,49,1,0.020000,3133,3132,1,0.000319,False,False,pre-commit-ci-lite[bot]
click,click_W06,8.2.2,8.3.0,14,13,1,14,13,77,74,3,0.038961,4695,4689,6,0.001278,False,False,pre-commit-ci-lite[bot]
click,click_W07,8.3.0,8.3.1,18,17,1,18,17,55,54,1,0.018182,3129,3127,2,0.000639,False,False,pre-commit-ci-lite[bot]
flask,flask_W01,3.0.0,3.0.1,5,5,0,5,5,20,20,0,0.000000,1348,1348,0,0.000000,False,False,
flask,flask_W02,3.0.1,3.0.2,3,3,0,3,3,4,4,0,0.000000,28,28,0,0.000000,False,False,
flask,flask_W03,3.0.2,3.0.3,2,2,0,2,2,6,6,0,0.000000,786,786,0,0.000000,False,False,
flask,flask_W04,3.0.3,3.1.0,18,16,2,18,16,93,69,24,0.258065,2725,2501,224,0.082202,False,False,dependabot[bot];pre-commit-ci[bot]
flask,flask_W05,3.1.0,3.1.1,8,8,0,8,8,21,21,0,0.000000,3038,3038,0,0.000000,False,False,
flask,flask_W06,3.1.1,3.1.2,6,6,0,6,6,20,20,0,0.000000,1803,1803,0,0.000000,False,False,
flask,flask_W07,3.1.2,3.1.3,5,5,0,5,5,16,16,0,0.000000,3431,3431,0,0.000000,False,False,
requests,requests_W01,v2.30.0,v2.31.0,3,3,0,3,3,5,5,0,0.000000,70,70,0,0.000000,False,False,
requests,requests_W02,v2.31.0,v2.32.0,31,30,1,31,30,84,69,15,0.178571,1667,1595,72,0.043191,False,False,dependabot[bot]
requests,requests_W03,v2.32.0,v2.32.1,1,1,0,1,1,1,1,0,0.000000,12,12,0,0.000000,False,False,
requests,requests_W04,v2.32.1,v2.32.2,1,1,0,1,1,3,3,0,0.000000,55,55,0,0.000000,False,False,
requests,requests_W05,v2.32.2,v2.32.3,2,2,0,2,2,5,5,0,0.000000,131,131,0,0.000000,False,False,
requests,requests_W06,v2.32.3,v2.32.4,16,15,1,16,15,42,33,9,0.214286,1106,1038,68,0.061483,True,False,dependabot[bot]
requests,requests_W07,v2.32.4,v2.32.5,8,7,1,8,7,12,9,3,0.250000,236,214,22,0.093220,True,False,dependabot[bot]
urllib3,urllib3_W01,2.2.3,2.3.0,11,10,1,11,10,30,25,5,0.166667,2088,2058,30,0.014368,False,False,dependabot[bot]
urllib3,urllib3_W02,2.3.0,2.4.0,11,10,1,11,10,27,22,5,0.185185,3080,3034,46,0.014935,False,False,dependabot[bot]
urllib3,urllib3_W03,2.4.0,2.5.0,10,9,1,10,9,16,14,2,0.125000,1076,1058,18,0.016729,False,False,dependabot[bot]
urllib3,urllib3_W04,2.5.0,2.6.0,17,16,1,17,16,59,38,21,0.355932,6012,5844,168,0.027944,True,False,dependabot[bot]
urllib3,urllib3_W05,2.6.0,2.6.1,1,1,0,1,1,2,2,0,0.000000,30,30,0,0.000000,False,False,
urllib3,urllib3_W06,2.6.1,2.6.2,1,1,0,1,1,2,2,0,0.000000,65,65,0,0.000000,False,False,
urllib3,urllib3_W07,2.6.2,2.6.3,5,4,1,5,4,12,8,4,0.333333,335,319,16,0.047761,False,False,dependabot[bot]
