project_id,window_id,from_tag,to_tag,developer_rows_all,developer_rows_human,developer_rows_bot,unique_authors_all,unique_authors_human,total_commits_all,total_commits_human,total_commits_bot,bot_commit_share,total_churn_all,total_churn_human,total_churn_bot,bot_churn_share,bot_has_max_commits,bot_has_max_churn,bot_identities
brew,brew_W01,5.1.1,5.1.2,17,15,2,17,15,107,88,19,0.177570,10040,9591,449,0.044721,False,False,BrewTestBot;dependabot[bot]
brew,brew_W02,5.1.2,5.1.3,3,3,0,3,3,4,4,0,0.000000,2449,2449,0,0.000000,False,False,
brew,brew_W03,5.1.3,5.1.4,16,14,2,16,14,53,44,9,0.169811,12848,11251,1597,0.124300,False,False,BrewTestBot;dependabot[bot]
brew,brew_W04,5.1.4,5.1.5,4,4,0,4,4,8,8,0,0.000000,1436,1436,0,0.000000,False,False,
brew,brew_W05,5.1.5,5.1.6,15,13,2,15,13,71,54,17,0.239437,5036,4311,725,0.143963,False,False,BrewTestBot;dependabot[bot]
brew,brew_W06,5.1.6,5.1.7,16,14,2,16,14,67,56,11,0.164179,8014,7225,789,0.098453,False,False,BrewTestBot;dependabot[bot]
brew,brew_W07,5.1.7,5.1.8,18,16,2,18,16,68,57,11,0.161765,3701,3302,399,0.107809,False,False,BrewTestBot;dependabot[bot]
click,click_W01,8.1.6,8.1.7,5,4,1,5,4,8,7,1,0.125000,69,63,6,0.086957,False,False,pre-commit-ci[bot]
click,click_W02,8.1.7,8.1.8,20,19,1,20,19,62,60,2,0.032258,3227,3197,30,0.009297,False,False,pre-commit-ci[bot]
click,click_W03,8.1.8,8.2.0,27,24,3,27,24,152,105,47,0.309211,12011,11781,230,0.019149,True,False,dependabot[bot];pre-commit-ci-lite[bot];pre-commit-ci[bot]
click,click_W04,8.2.0,8.2.1,8,8,0,8,8,18,18,0,0.000000,2912,2912,0,0.000000,False,False,
click,click_W05,8.2.1,8.2.2,16,15,1,16,15,50,49,1,0.020000,3133,3132,1,0.000319,False,False,pre-commit-ci-lite[bot]
click,click_W06,8.2.2,8.3.0,14,13,1,14,13,77,74,3,0.038961,4695,4689,6,0.001278,False,False,pre-commit-ci-lite[bot]
click,click_W07,8.3.0,8.3.1,18,17,1,18,17,55,54,1,0.018182,3129,3127,2,0.000639,False,False,pre-commit-ci-lite[bot]
curl,curl_W01,curl-8_14_0,curl-8_14_1,9,9,0,9,9,48,48,0,0.000000,8435,8435,0,0.000000,False,False,
curl,curl_W02,curl-8_14_1,curl-8_15_0,37,36,1,37,36,334,322,12,0.035928,53344,53294,50,0.000937,False,False,renovate[bot]
curl,curl_W03,curl-8_15_0,curl-8_16_0,32,31,1,32,31,454,430,24,0.052863,54086,53794,292,0.005399,False,False,renovate[bot]
curl,curl_W04,curl-8_16_0,curl-8_17_0,23,21,2,23,21,702,672,30,0.042735,92207,92001,206,0.002234,False,False,dependabot[bot];renovate[bot]
curl,curl_W05,curl-8_17_0,curl-8_18_0,37,35,2,37,35,758,732,26,0.034301,97382,96942,440,0.004518,False,False,dependabot[bot];renovate[bot]
