project_id,window_id,from_tag,to_tag,total_commits,total_added,total_deleted,total_churn,unique_authors
brew,brew_W01,5.1.1,5.1.2,107,8379,1661,10040,17
brew,brew_W02,5.1.2,5.1.3,4,2441,8,2449,3
brew,brew_W03,5.1.3,5.1.4,53,3384,9464,12848,16
brew,brew_W04,5.1.4,5.1.5,8,1127,309,1436,4
brew,brew_W05,5.1.5,5.1.6,71,3298,1738,5036,15
brew,brew_W06,5.1.6,5.1.7,67,5396,2618,8014,16
brew,brew_W07,5.1.7,5.1.8,68,3160,541,3701,18
click,click_W01,8.1.6,8.1.7,8,41,28,69,5
click,click_W02,8.1.7,8.1.8,62,1782,1445,3227,20
click,click_W03,8.1.8,8.2.0,152,6626,5385,12011,27
click,click_W04,8.2.0,8.2.1,18,2027,885,2912,8
click,click_W05,8.2.1,8.2.2,50,1809,1324,3133,16
click,click_W06,8.2.2,8.3.0,77,3137,1558,4695,14
click,click_W07,8.3.0,8.3.1,55,1972,1157,3129,18
curl,curl_W01,curl-8_14_0,curl-8_14_1,48,4835,3600,8435,9
curl,curl_W02,curl-8_14_1,curl-8_15_0,334,23149,30195,53344,37
curl,curl_W03,curl-8_15_0,curl-8_16_0,454,23809,30277,54086,32
curl,curl_W04,curl-8_16_0,curl-8_17_0,702,46141,46066,92207,23
curl,curl_W05,curl-8_17_0,curl-8_18_0,758,48045,49337,97382,37
curl,curl_W06,curl-8_18_0,curl-8_19_0,538,30699,33663,64362,37
curl,curl_W07,curl-8_19_0,curl-8_20_0,522,31576,20271,51847,28
flask,flask_W01,3.0.0,3.0.1,20,761,587,1348,5
flask,flask_W02,3.0.1,3.0.2,4,23,5,28,3
flask,flask_W03,3.0.2,3.0.3,6,453,333,786,2
flask,flask_W04,3.0.3,3.1.0,93,1625,1100,2725,18
flask,flask_W05,3.1.0,3.1.1,21,2041,997,3038,8
flask,flask_W06,3.1.1,3.1.2,20,978,825,1803,6
flask,flask_W07,3.1.2,3.1.3,16,2100,1331,3431,5
gin,gin_W01,v1.8.1,v1.8.2,4,107,38,145,4
gin,gin_W02,v1.8.2,v1.9.0,84,4249,3758,8007,33
gin,gin_W03,v1.9.0,v1.9.1,18,345,307,652,11
gin,gin_W04,v1.9.1,v1.10.0,67,1330,402,1732,35
gin,gin_W05,v1.10.0,v1.10.1,1,14,3,17,1
gin,gin_W06,v1.10.1,v1.11.0,126,5002,2083,7085,62
gin,gin_W07,v1.11.0,v1.12.0,95,3406,1035,4441,36
junit5,junit5_W01,r6.0.0,r5.14.1,215,7871,3601,11472,11
junit5,junit5_W02,r5.14.1,r6.0.1,841,27757,23464,51221,21
junit5,junit5_W03,r6.0.1,r5.14.2,295,132899,129021,261920,13
junit5,junit5_W04,r5.14.2,r6.0.2,978,154478,149143,303621,22
junit5,junit5_W05,r6.0.2,r5.14.3,305,133031,129085,262116,14
junit5,junit5_W06,r5.14.3,r6.0.3,989,154769,149233,304002,22
junit5,junit5_W07,r6.0.3,r5.14.4,319,133261,129190,262451,17
prettier,prettier_W01,3.7.1,3.7.2,13,802,204,1006,7
prettier,prettier_W02,3.7.2,3.7.3,7,259,85,344,2
prettier,prettier_W03,3.7.3,3.7.4,18,2296,1540,3836,3
prettier,prettier_W04,3.7.4,3.8.0,21,1212,276,1488,4
prettier,prettier_W05,3.8.0,3.8.1,9,398,277,675,2
prettier,prettier_W06,3.8.1,3.8.2,5,352,63,415,1
prettier,prettier_W07,3.8.2,3.8.3,8,262,168,430,2
requests,requests_W01,v2.30.0,v2.31.0,5,59,11,70,3
requests,requests_W02,v2.31.0,v2.32.0,84,1360,307,1667,31
requests,requests_W03,v2.32.0,v2.32.1,1,10,2,12,1
requests,requests_W04,v2.32.1,v2.32.2,3,47,8,55,1
requests,requests_W05,v2.32.2,v2.32.3,5,109,22,131,2
requests,requests_W06,v2.32.3,v2.32.4,42,553,553,1106,16
requests,requests_W07,v2.32.4,v2.32.5,12,159,77,236,8
tokio,tokio_W01,tokio-1.47.3,tokio-1.49.0,160,15627,5938,21565,69
tokio,tokio_W02,tokio-1.49.0,tokio-1.50.0,66,2486,609,3095,33
tokio,tokio_W03,tokio-1.50.0,tokio-1.47.4,2,44,16,60,2
tokio,tokio_W04,tokio-1.47.4,tokio-1.51.0,249,19977,6854,26831,106
tokio,tokio_W05,tokio-1.51.0,tokio-1.51.1,7,449,27,476,4
tokio,tokio_W06,tokio-1.51.1,tokio-1.52.0,15,2234,450,2684,11
tokio,tokio_W07,tokio-1.52.0,tokio-1.52.1,7,302,485,787,5
urllib3,urllib3_W01,2.2.3,2.3.0,30,1490,598,2088,11
urllib3,urllib3_W02,2.3.0,2.4.0,27,2676,404,3080,11
urllib3,urllib3_W03,2.4.0,2.5.0,16,712,364,1076,10
urllib3,urllib3_W04,2.5.0,2.6.0,59,3591,2421,6012,17
urllib3,urllib3_W05,2.6.0,2.6.1,2,24,6,30,1
urllib3,urllib3_W06,2.6.1,2.6.2,2,59,6,65,1
urllib3,urllib3_W07,2.6.2,2.6.3,12,232,103,335,5
