project_id,window_id,from_tag,to_tag,total_commits,total_added,total_deleted,total_churn,unique_authors
click,click_W01,8.1.6,8.1.7,7,38,25,63,4
click,click_W02,8.1.7,8.1.8,60,1767,1430,3197,19
click,click_W03,8.1.8,8.2.0,105,6511,5270,11781,24
click,click_W04,8.2.0,8.2.1,18,2027,885,2912,8
click,click_W05,8.2.1,8.2.2,49,1809,1323,3132,15
click,click_W06,8.2.2,8.3.0,74,3134,1555,4689,13
click,click_W07,8.3.0,8.3.1,54,1971,1156,3127,17
flask,flask_W01,3.0.0,3.0.1,20,761,587,1348,5
flask,flask_W02,3.0.1,3.0.2,4,23,5,28,3
flask,flask_W03,3.0.2,3.0.3,6,453,333,786,2
flask,flask_W04,3.0.3,3.1.0,69,1513,988,2501,16
flask,flask_W05,3.1.0,3.1.1,21,2041,997,3038,8
flask,flask_W06,3.1.1,3.1.2,20,978,825,1803,6
flask,flask_W07,3.1.2,3.1.3,16,2100,1331,3431,5
requests,requests_W01,v2.30.0,v2.31.0,5,59,11,70,3
requests,requests_W02,v2.31.0,v2.32.0,69,1324,271,1595,30
requests,requests_W03,v2.32.0,v2.32.1,1,10,2,12,1
requests,requests_W04,v2.32.1,v2.32.2,3,47,8,55,1
requests,requests_W05,v2.32.2,v2.32.3,5,109,22,131,2
requests,requests_W06,v2.32.3,v2.32.4,33,519,519,1038,15
requests,requests_W07,v2.32.4,v2.32.5,9,148,66,214,7
urllib3,urllib3_W01,2.2.3,2.3.0,25,1475,583,2058,10
urllib3,urllib3_W02,2.3.0,2.4.0,22,2653,381,3034,10
urllib3,urllib3_W03,2.4.0,2.5.0,14,703,355,1058,9
urllib3,urllib3_W04,2.5.0,2.6.0,38,3503,2341,5844,16
urllib3,urllib3_W05,2.6.0,2.6.1,2,24,6,30,1
urllib3,urllib3_W06,2.6.1,2.6.2,2,59,6,65,1
urllib3,urllib3_W07,2.6.2,2.6.3,8,224,95,319,4
