project_id,window_id,from_tag,to_tag,total_commits,total_added,total_deleted,total_churn,unique_authors
brew,brew_W01,5.1.1,5.1.2,88,8096,1495,9591,15
brew,brew_W02,5.1.2,5.1.3,4,2441,8,2449,3
brew,brew_W03,5.1.3,5.1.4,44,3231,8020,11251,14
brew,brew_W04,5.1.4,5.1.5,8,1127,309,1436,4
brew,brew_W05,5.1.5,5.1.6,54,2873,1438,4311,13
brew,brew_W06,5.1.6,5.1.7,56,4805,2420,7225,14
brew,brew_W07,5.1.7,5.1.8,57,2798,504,3302,16
click,click_W01,8.1.6,8.1.7,7,38,25,63,4
click,click_W02,8.1.7,8.1.8,60,1767,1430,3197,19
click,click_W03,8.1.8,8.2.0,105,6511,5270,11781,24
click,click_W04,8.2.0,8.2.1,18,2027,885,2912,8
click,click_W05,8.2.1,8.2.2,49,1809,1323,3132,15
click,click_W06,8.2.2,8.3.0,74,3134,1555,4689,13
click,click_W07,8.3.0,8.3.1,54,1971,1156,3127,17
curl,curl_W01,curl-8_14_0,curl-8_14_1,48,4835,3600,8435,9
curl,curl_W02,curl-8_14_1,curl-8_15_0,322,23124,30170,53294,36
curl,curl_W03,curl-8_15_0,curl-8_16_0,430,23663,30131,53794,31
curl,curl_W04,curl-8_16_0,curl-8_17_0,672,46038,45963,92001,21
curl,curl_W05,curl-8_17_0,curl-8_18_0,732,47825,49117,96942,35
curl,curl_W06,curl-8_18_0,curl-8_19_0,522,30581,33545,64126,35
curl,curl_W07,curl-8_19_0,curl-8_20_0,503,31483,20178,51661,26
flask,flask_W01,3.0.0,3.0.1,20,761,587,1348,5
flask,flask_W02,3.0.1,3.0.2,4,23,5,28,3
flask,flask_W03,3.0.2,3.0.3,6,453,333,786,2
flask,flask_W04,3.0.3,3.1.0,69,1513,988,2501,16
flask,flask_W05,3.1.0,3.1.1,21,2041,997,3038,8
flask,flask_W06,3.1.1,3.1.2,20,978,825,1803,6
flask,flask_W07,3.1.2,3.1.3,16,2100,1331,3431,5
gin,gin_W01,v1.8.1,v1.8.2,4,107,38,145,4
gin,gin_W02,v1.8.2,v1.9.0,54,4122,3607,7729,32
gin,gin_W03,v1.9.0,v1.9.1,11,315,281,596,10
gin,gin_W04,v1.9.1,v1.10.0,54,1269,339,1608,34
gin,gin_W05,v1.10.0,v1.10.1,1,14,3,17,1
gin,gin_W06,v1.10.1,v1.11.0,105,4848,1905,6753,61
gin,gin_W07,v1.11.0,v1.12.0,66,3232,863,4095,35
junit5,junit5_W01,r6.0.0,r5.14.1,205,7857,3587,11444,10
junit5,junit5_W02,r5.14.1,r6.0.1,671,27483,23189,50672,20
junit5,junit5_W03,r6.0.1,r5.14.2,285,132885,129007,261892,12
junit5,junit5_W04,r5.14.2,r6.0.2,805,154201,148865,303066,21
junit5,junit5_W05,r6.0.2,r5.14.3,295,133017,129071,262088,13
junit5,junit5_W06,r5.14.3,r6.0.3,816,154492,148955,303447,21
junit5,junit5_W07,r6.0.3,r5.14.4,309,133247,129176,262423,16
prettier,prettier_W01,3.7.1,3.7.2,12,796,198,994,6
prettier,prettier_W02,3.7.2,3.7.3,7,259,85,344,2
prettier,prettier_W03,3.7.3,3.7.4,16,2284,1528,3812,2
prettier,prettier_W04,3.7.4,3.8.0,19,1186,261,1447,2
prettier,prettier_W05,3.8.0,3.8.1,9,398,277,675,2
prettier,prettier_W06,3.8.1,3.8.2,5,352,63,415,1
prettier,prettier_W07,3.8.2,3.8.3,8,262,168,430,2
requests,requests_W01,v2.30.0,v2.31.0,5,59,11,70,3
requests,requests_W02,v2.31.0,v2.32.0,69,1324,271,1595,30
requests,requests_W03,v2.32.0,v2.32.1,1,10,2,12,1
requests,requests_W04,v2.32.1,v2.32.2,3,47,8,55,1
requests,requests_W05,v2.32.2,v2.32.3,5,109,22,131,2
requests,requests_W06,v2.32.3,v2.32.4,33,519,519,1038,15
requests,requests_W07,v2.32.4,v2.32.5,9,148,66,214,7
tokio,tokio_W01,tokio-1.47.3,tokio-1.49.0,160,15627,5938,21565,69
tokio,tokio_W02,tokio-1.49.0,tokio-1.50.0,66,2486,609,3095,33
tokio,tokio_W03,tokio-1.50.0,tokio-1.47.4,2,44,16,60,2
tokio,tokio_W04,tokio-1.47.4,tokio-1.51.0,249,19977,6854,26831,106
tokio,tokio_W05,tokio-1.51.0,tokio-1.51.1,7,449,27,476,4
tokio,tokio_W06,tokio-1.51.1,tokio-1.52.0,15,2234,450,2684,11
tokio,tokio_W07,tokio-1.52.0,tokio-1.52.1,6,301,484,785,4
urllib3,urllib3_W01,2.2.3,2.3.0,25,1475,583,2058,10
urllib3,urllib3_W02,2.3.0,2.4.0,22,2653,381,3034,10
urllib3,urllib3_W03,2.4.0,2.5.0,14,703,355,1058,9
urllib3,urllib3_W04,2.5.0,2.6.0,38,3503,2341,5844,16
urllib3,urllib3_W05,2.6.0,2.6.1,2,24,6,30,1
urllib3,urllib3_W06,2.6.1,2.6.2,2,59,6,65,1
urllib3,urllib3_W07,2.6.2,2.6.3,8,224,95,319,4
