project_id,window_id,from_tag,to_tag,duration_days,is_short_lt_1d,is_short_lt_7d,is_short_lt_14d,analysis_set,total_commits,total_added,total_deleted,total_churn,unique_authors,mean_endpoint_code_lines,mean_endpoint_kloc,commits_per_day,added_per_day,deleted_per_day,churn_per_day,churn_per_kloc_day
brew,brew_W01,5.1.1,5.1.2,7.067824,False,False,True,primary,88,8096,1495,9591,15,215187.500000,215.187500,12.450791,1145.472767,211.521960,1356.994727,6.306104
brew,brew_W02,5.1.2,5.1.3,0.826516,True,True,True,sensitivity_only,4,2441,8,2449,3,217898.500000,217.898500,4.839591,2953.360127,9.679181,2963.039308,13.598255
brew,brew_W03,5.1.3,5.1.4,5.852824,False,True,True,sensitivity_only,44,3231,8020,11251,14,216756.000000,216.756000,7.517738,552.041196,1370.278672,1922.319868,8.868589
brew,brew_W04,5.1.4,5.1.5,1.677627,False,True,True,sensitivity_only,8,1127,309,1436,4,215361.000000,215.361000,4.768640,671.782100,184.188703,855.970803,3.974586
brew,brew_W05,5.1.5,5.1.6,6.005602,False,True,True,sensitivity_only,54,2873,1438,4311,13,216337.000000,216.337000,8.991605,478.386691,239.443113,717.829804,3.318109
brew,brew_W06,5.1.6,5.1.7,4.531655,False,True,True,sensitivity_only,56,4805,2420,7225,14,218016.500000,218.016500,12.357516,1060.319001,534.021224,1594.340225,7.312934
brew,brew_W07,5.1.7,5.1.8,8.964560,False,False,True,primary,57,2798,504,3302,16,220026.500000,220.026500,6.358371,312.117934,56.221386,368.339320,1.674068
click,click_W01,8.1.6,8.1.7,29.892269,False,False,False,primary,7,38,25,63,4,13455.500000,13.455500,0.234174,1.271232,0.836337,2.107568,0.156632
click,click_W02,8.1.7,8.1.8,489.986620,False,False,False,primary,60,1767,1430,3197,19,13554.500000,13.554500,0.122452,3.606221,2.918447,6.524668,0.481365
click,click_W03,8.1.8,8.2.0,142.217014,False,False,False,primary,105,6511,5270,11781,24,14089.000000,14.089000,0.738308,45.782145,37.056045,82.838190,5.879636
click,click_W04,8.2.0,8.2.1,10.036273,False,False,True,primary,18,2027,885,2912,8,14570.500000,14.570500,1.793494,201.967401,88.180143,290.147544,19.913355
click,click_W05,8.2.1,8.2.2,70.225521,False,False,False,primary,49,1809,1323,3132,15,14834.000000,14.834000,0.697752,25.759866,18.839305,44.599171,3.006551
click,click_W06,8.2.2,8.3.0,45.047836,False,False,False,primary,74,3134,1555,4689,13,15661.500000,15.661500,1.642698,69.570490,34.518862,104.089352,6.646193
click,click_W07,8.3.0,8.3.1,63.623542,False,False,False,primary,54,1971,1156,3127,17,16387.000000,16.387000,0.848742,30.979099,18.169375,49.148474,2.999236
curl,curl_W01,curl-8_14_0,curl-8_14_1,7.000139,False,False,True,primary,48,4835,3600,8435,9,224635.500000,224.635500,6.857007,690.700581,514.275510,1204.976092,5.364139
curl,curl_W02,curl-8_14_1,curl-8_15_0,42.027778,False,False,False,primary,322,23124,30170,53294,36,222338.000000,222.338000,7.661599,550.207535,717.858559,1268.066094,5.703326
curl,curl_W03,curl-8_15_0,curl-8_16_0,55.973414,False,False,False,primary,430,23663,30131,53794,31,220755.000000,220.755000,7.682219,422.754271,538.309130,961.063402,4.353529
curl,curl_W04,curl-8_16_0,curl-8_17_0,56.053426,False,False,False,primary,672,46038,45963,92001,21,222025.500000,222.025500,11.988562,821.323572,819.985563,1641.309135,7.392435
