project_id,window_id,from_tag,to_tag,duration_days,is_short_lt_1d,is_short_lt_7d,is_short_lt_14d,analysis_set,total_commits,total_added,total_deleted,total_churn,unique_authors,mean_endpoint_code_lines,mean_endpoint_kloc,commits_per_day,added_per_day,deleted_per_day,churn_per_day,churn_per_kloc_day
brew,brew_W01,5.1.1,5.1.2,7.067824,False,False,True,primary,107,8379,1661,10040,17,215187.500000,215.187500,15.139030,1185.513379,235.008679,1420.522058,6.601322
brew,brew_W02,5.1.2,5.1.3,0.826516,True,True,True,sensitivity_only,4,2441,8,2449,3,217898.500000,217.898500,4.839591,2953.360127,9.679181,2963.039308,13.598255
brew,brew_W03,5.1.3,5.1.4,5.852824,False,True,True,sensitivity_only,53,3384,9464,12848,16,216756.000000,216.756000,9.055458,578.182422,1616.997176,2195.179598,10.127423
brew,brew_W04,5.1.4,5.1.5,1.677627,False,True,True,sensitivity_only,8,1127,309,1436,4,215361.000000,215.361000,4.768640,671.782100,184.188703,855.970803,3.974586
brew,brew_W05,5.1.5,5.1.6,6.005602,False,True,True,sensitivity_only,71,3298,1738,5036,15,216337.000000,216.337000,11.822296,549.153953,289.396474,838.550427,3.876130
brew,brew_W06,5.1.6,5.1.7,4.531655,False,True,True,sensitivity_only,67,5396,2618,8014,16,218016.500000,218.016500,14.784885,1190.734928,577.713870,1768.448798,8.111537
brew,brew_W07,5.1.7,5.1.8,8.964560,False,False,True,primary,68,3160,541,3701,18,220026.500000,220.026500,7.585425,352.499167,60.348750,412.847917,1.876355
click,click_W01,8.1.6,8.1.7,29.892269,False,False,False,primary,8,41,28,69,5,13455.500000,13.455500,0.267628,1.371592,0.936697,2.308289,0.171550
click,click_W02,8.1.7,8.1.8,489.986620,False,False,False,primary,62,1782,1445,3227,20,13554.500000,13.554500,0.126534,3.636834,2.949060,6.585894,0.485882
click,click_W03,8.1.8,8.2.0,142.217014,False,False,False,primary,152,6626,5385,12011,27,14089.000000,14.089000,1.068789,46.590769,37.864668,84.455437,5.994424
click,click_W04,8.2.0,8.2.1,10.036273,False,False,True,primary,18,2027,885,2912,8,14570.500000,14.570500,1.793494,201.967401,88.180143,290.147544,19.913355
click,click_W05,8.2.1,8.2.2,70.225521,False,False,False,primary,50,1809,1324,3133,16,14834.000000,14.834000,0.711992,25.759866,18.853545,44.613411,3.007510
click,click_W06,8.2.2,8.3.0,45.047836,False,False,False,primary,77,3137,1558,4695,14,15661.500000,15.661500,1.709294,69.637086,34.585457,104.222543,6.654697
click,click_W07,8.3.0,8.3.1,63.623542,False,False,False,primary,55,1972,1157,3129,18,16387.000000,16.387000,0.864460,30.994817,18.185093,49.179909,3.001154
curl,curl_W01,curl-8_14_0,curl-8_14_1,7.000139,False,False,True,primary,48,4835,3600,8435,9,224635.500000,224.635500,6.857007,690.700581,514.275510,1204.976092,5.364139
curl,curl_W02,curl-8_14_1,curl-8_15_0,42.027778,False,False,False,primary,334,23149,30195,53344,37,222338.000000,222.338000,7.947125,550.802379,718.453404,1269.255783,5.708677
curl,curl_W03,curl-8_15_0,curl-8_16_0,55.973414,False,False,False,primary,454,23809,30277,54086,32,220755.000000,220.755000,8.110994,425.362653,540.917511,966.280164,4.377161
curl,curl_W04,curl-8_16_0,curl-8_17_0,56.053426,False,False,False,primary,702,46141,46066,92207,23,222025.500000,222.025500,12.523766,823.161105,821.823095,1644.984200,7.408988
curl,curl_W05,curl-8_17_0,curl-8_18_0,62.997975,False,False,False,primary,758,48045,49337,97382,37,222589.500000,222.589500,12.032133,762.643567,783.152163,1545.795729,6.944603
curl,curl_W06,curl-8_18_0,curl-8_19_0,62.992581,False,False,False,primary,538,30699,33663,64362,37,221363.500000,221.363500,8.540688,487.343105,534.396265,1021.739369,4.615663
curl,curl_W07,curl-8_19_0,curl-8_20_0,48.957523,False,False,False,primary,522,31576,20271,51847,28,222902.500000,222.902500,10.662304,644.967269,414.052809,1059.020078,4.751046
flask,flask_W01,3.0.0,3.0.1,110.230417,False,False,False,primary,20,761,587,1348,5,12635.500000,12.635500,0.181438,6.903721,5.325209,12.228930,0.967823
flask,flask_W02,3.0.1,3.0.2,16.045394,False,False,False,primary,4,23,5,28,3,12687.500000,12.687500,0.249293,1.433433,0.311616,1.745049,0.137541
flask,flask_W03,3.0.2,3.0.3,63.928125,False,False,False,primary,6,453,333,786,2,12706.000000,12.706000,0.093855,7.086083,5.208975,12.295058,0.967658
flask,flask_W04,3.0.3,3.1.0,219.958657,False,False,False,primary,93,1625,1100,2725,18,12839.000000,12.839000,0.422807,7.387752,5.000940,12.388692,0.964927
flask,flask_W05,3.1.0,3.1.1,180.856111,False,False,False,primary,21,2041,997,3038,8,12953.500000,12.953500,0.116114,11.285214,5.512670,16.797884,1.296783
flask,flask_W06,3.1.1,3.1.2,98.253426,False,False,False,primary,20,978,825,1803,6,12955.000000,12.955000,0.203555,9.953851,8.396654,18.350505,1.416481
flask,flask_W07,3.1.2,3.1.3,183.332523,False,False,False,primary,16,2100,1331,3431,5,12968.000000,12.968000,0.087273,11.454596,7.260032,18.714628,1.443139
gin,gin_W01,v1.8.1,v1.8.2,199.026215,False,False,False,primary,4,107,38,145,4,13530.500000,13.530500,0.020098,0.537618,0.190930,0.728547,0.053845
gin,gin_W02,v1.8.2,v1.9.0,60.820220,False,False,False,primary,84,4249,3758,8007,33,13650.000000,13.650000,1.381120,69.861635,61.788662,131.650297,9.644710
gin,gin_W03,v1.9.0,v1.9.1,99.712361,False,False,False,primary,18,345,307,652,11,13768.000000,13.768000,0.180519,3.459952,3.078856,6.538808,0.474928
gin,gin_W04,v1.9.1,v1.10.0,341.039838,False,False,False,primary,67,1330,402,1732,35,14113.500000,14.113500,0.196458,3.899838,1.178748,5.078586,0.359839
gin,gin_W05,v1.10.0,v1.10.1,378.257002,False,False,False,primary,1,14,3,17,1,14445.000000,14.445000,0.002644,0.037012,0.007931,0.044943,0.003111
gin,gin_W06,v1.10.1,v1.11.0,123.086748,False,False,False,primary,126,5002,2083,7085,62,15415.000000,15.415000,1.023668,40.638006,16.923024,57.561030,3.734092
gin,gin_W07,v1.11.0,v1.12.0,160.938507,False,False,False,primary,95,3406,1035,4441,36,17177.000000,17.177000,0.590288,21.163363,6.431028,27.594390,1.606473
junit5,junit5_W01,r6.0.0,r5.14.1,31.270926,False,False,False,primary,215,7871,3601,11472,11,132747.500000,132.747500,6.875396,251.703452,115.154889,366.858341,2.763580
junit5,junit5_W02,r5.14.1,r6.0.1,0.134826,True,True,True,sensitivity_only,841,27757,23464,51221,21,132853.500000,132.853500,6237.651301,205872.160700,174031.212980,379903.373680,2859.566166
junit5,junit5_W03,r6.0.1,r5.14.2,66.891331,False,False,False,primary,295,132899,129021,261920,13,132766.000000,132.766000,4.410138,1986.789588,1928.814961,3915.604549,29.492525
junit5,junit5_W04,r5.14.2,r6.0.2,0.034352,True,True,True,sensitivity_only,978,154478,149143,303621,22,132848.500000,132.848500,28470.080863,4496933.692722,4341629.110512,8838562.803235,66531.144900
junit5,junit5_W05,r6.0.2,r5.14.3,39.870463,False,False,False,primary,305,133031,129085,262116,14,132850.500000,132.850500,7.649773,3336.580268,3237.609759,6574.190027,49.485625
junit5,junit5_W06,r5.14.3,r6.0.3,0.030324,True,True,True,sensitivity_only,989,154769,149233,304002,22,132884.500000,132.884500,32614.351145,5103832.671756,4921271.450382,10025104.122137,75442.238351
junit5,junit5_W07,r6.0.3,r5.14.4,69.909537,False,False,False,primary,319,133261,129190,262451,17,132919.500000,132.919500,4.563040,1906.191997,1847.959599,3754.151595,28.243799
prettier,prettier_W01,3.7.1,3.7.2,1.393322,False,True,True,sensitivity_only,13,802,204,1006,7,112748.500000,112.748500,9.330221,575.602868,146.412699,722.015567,6.403771
prettier,prettier_W02,3.7.2,3.7.3,0.872280,True,True,True,sensitivity_only,7,259,85,344,2,112833.000000,112.833000,8.024945,296.922975,97.445764,394.368739,3.495154
prettier,prettier_W03,3.7.3,3.7.4,3.445278,False,True,True,sensitivity_only,18,2296,1540,3836,3,112998.000000,112.998000,5.224542,666.419415,446.988632,1113.408046,9.853343
prettier,prettier_W04,3.7.4,3.8.0,42.806169,False,False,False,primary,21,1212,276,1488,4,113169.000000,113.169000,0.490583,28.313676,6.447669,34.761345,0.307163
prettier,prettier_W05,3.8.0,3.8.1,6.741991,False,True,True,sensitivity_only,9,398,277,675,2,113180.500000,113.180500,1.334917,59.033009,41.085788,100.118797,0.884594
prettier,prettier_W06,3.8.1,3.8.2,78.364560,False,False,False,primary,5,352,63,415,1,113195.500000,113.195500,0.063804,4.491826,0.803935,5.295761,0.046784
prettier,prettier_W07,3.8.2,3.8.3,4.934525,False,True,True,sensitivity_only,8,262,168,430,2,113213.000000,113.213000,1.621230,53.095278,34.045827,87.141105,0.769709
requests,requests_W01,v2.30.0,v2.31.0,18.987500,False,False,False,primary,5,59,11,70,3,7972.500000,7.972500,0.263331,3.107307,0.579329,3.686636,0.462419
requests,requests_W02,v2.31.0,v2.32.0,364.017002,False,False,False,primary,84,1360,307,1667,31,8135.000000,8.135000,0.230758,3.736089,0.843367,4.579456,0.562933
requests,requests_W03,v2.32.0,v2.32.1,0.264271,True,True,True,sensitivity_only,1,10,2,12,1,8289.000000,8.289000,3.783997,37.839968,7.567994,45.407962,5.478099
requests,requests_W04,v2.32.1,v2.32.2,0.861725,True,True,True,sensitivity_only,3,47,8,55,1,8302.000000,8.302000,3.481391,54.541791,9.283709,63.825501,7.687967
requests,requests_W05,v2.32.2,v2.32.3,7.866655,False,False,True,primary,5,109,22,131,2,8347.000000,8.347000,0.635594,13.855953,2.796614,16.652567,1.995036
requests,requests_W06,v2.32.3,v2.32.4,376.043472,False,False,False,primary,42,553,553,1106,16,8402.000000,8.402000,0.111689,1.470575,1.470575,2.941149,0.350053
requests,requests_W07,v2.32.4,v2.32.5,70.154711,False,False,False,primary,12,159,77,236,8,8418.500000,8.418500,0.171051,2.266419,1.097574,3.363994,0.399595
tokio,tokio_W01,tokio-1.47.3,tokio-1.49.0,0.577118,True,True,True,sensitivity_only,160,15627,5938,21565,69,89211.500000,89.211500,277.239637,27077.648758,10289.056013,37366.704771,418.855246
tokio,tokio_W02,tokio-1.49.0,tokio-1.50.0,58.986782,False,False,False,primary,66,2486,609,3095,33,92647.500000,92.647500,1.118895,42.145035,10.324347,52.469382,0.566333
tokio,tokio_W03,tokio-1.50.0,tokio-1.47.4,30.105833,False,False,False,primary,2,44,16,60,2,89663.000000,89.663000,0.066432,1.461511,0.531458,1.992969,0.022227
tokio,tokio_W04,tokio-1.47.4,tokio-1.51.0,0.854155,True,True,True,sensitivity_only,249,19977,6854,26831,106,90145.000000,90.145000,291.516145,23388.024228,8024.303852,31412.328080,348.464453
tokio,tokio_W05,tokio-1.51.0,tokio-1.51.1,5.080312,False,True,True,sensitivity_only,7,449,27,476,4,94193.500000,94.193500,1.377868,88.380390,5.314634,93.695024,0.994708
tokio,tokio_W06,tokio-1.51.1,tokio-1.52.0,6.346030,False,True,True,sensitivity_only,15,2234,450,2684,11,94858.500000,94.858500,2.363682,352.031107,70.910474,422.941581,4.458658
tokio,tokio_W07,tokio-1.52.0,tokio-1.52.1,2.105602,False,True,True,sensitivity_only,7,302,485,787,5,95321.000000,95.321000,3.324465,143.426926,230.337943,373.764869,3.921118
urllib3,urllib3_W01,2.2.3,2.3.0,100.871308,False,False,False,primary,30,1490,598,2088,11,24011.500000,24.011500,0.297409,14.771297,5.928346,20.699642,0.862072
urllib3,urllib3_W02,2.3.0,2.4.0,109.307627,False,False,False,primary,27,2676,404,3080,11,24380.500000,24.380500,0.247009,24.481366,3.695991,28.177357,1.155733
urllib3,urllib3_W03,2.4.0,2.5.0,68.957558,False,False,False,primary,16,712,364,1076,10,24583.000000,24.583000,0.232027,10.325192,5.278609,15.603801,0.634739
urllib3,urllib3_W04,2.5.0,2.6.0,170.047083,False,False,False,primary,59,3591,2421,6012,17,24946.500000,24.946500,0.346963,21.117681,14.237233,35.354914,1.417229
urllib3,urllib3_W05,2.6.0,2.6.1,3.001100,False,True,True,sensitivity_only,2,24,6,30,1,25163.000000,25.163000,0.666422,7.997069,1.999267,9.996336,0.397263
urllib3,urllib3_W06,2.6.1,2.6.2,3.027002,False,True,True,sensitivity_only,2,59,6,65,1,25186.500000,25.186500,0.660720,19.491231,1.982159,21.473390,0.852575
urllib3,urllib3_W07,2.6.2,2.6.3,27.023750,False,False,False,primary,12,232,103,335,5,25233.000000,25.233000,0.444054,8.585041,3.811462,12.396503,0.491281
