project_id,window_id,from_tag,to_tag,total_churn,total_commits,unique_authors,top1_share_churn,top3_share_churn,top1_share_commits,top3_share_commits
brew,brew_W01,5.1.1,5.1.2,10040,107,17,0.526195,0.671115,0.186916,0.429907
brew,brew_W02,5.1.2,5.1.3,2449,4,3,0.994283,0.999999,0.500000,1.000000
brew,brew_W03,5.1.3,5.1.4,12848,53,16,0.733344,0.887920,0.358491,0.528303
brew,brew_W04,5.1.4,5.1.5,1436,8,4,0.670613,0.996518,0.375000,0.875000
brew,brew_W05,5.1.5,5.1.6,5036,71,15,0.378674,0.809373,0.267606,0.549297
brew,brew_W06,5.1.6,5.1.7,8014,67,16,0.370352,0.675443,0.194030,0.522388
brew,brew_W07,5.1.7,5.1.8,3701,68,18,0.484734,0.681978,0.279412,0.573530
click,click_W01,8.1.6,8.1.7,69,8,5,0.449275,0.855073,0.375000,0.750000
click,click_W02,8.1.7,8.1.8,3227,62,20,0.449334,0.873257,0.322581,0.677420
click,click_W03,8.1.8,8.2.0,12011,152,27,0.492882,0.739988,0.282895,0.697369
click,click_W04,8.2.0,8.2.1,2912,18,8,0.653503,0.978366,0.388889,0.722223
click,click_W05,8.2.1,8.2.2,3133,50,16,0.366422,0.771465,0.260000,0.580000
click,click_W06,8.2.2,8.3.0,4695,77,14,0.701384,0.899041,0.519481,0.727273
click,click_W07,8.3.0,8.3.1,3129,55,18,0.340045,0.812401,0.200000,0.490909
curl,curl_W01,curl-8_14_0,curl-8_14_1,8435,48,9,0.431772,0.941909,0.395833,0.770833
curl,curl_W02,curl-8_14_1,curl-8_15_0,53344,334,37,0.537211,0.969069,0.455090,0.793414
curl,curl_W03,curl-8_15_0,curl-8_16_0,54086,454,32,0.451910,0.974134,0.425110,0.863436
curl,curl_W04,curl-8_16_0,curl-8_17_0,92207,702,23,0.739261,0.980859,0.404558,0.866096
curl,curl_W05,curl-8_17_0,curl-8_18_0,97382,758,37,0.581668,0.970642,0.443272,0.868074
curl,curl_W06,curl-8_18_0,curl-8_19_0,64362,538,37,0.655014,0.981760,0.598513,0.892193
curl,curl_W07,curl-8_19_0,curl-8_20_0,51847,522,28,0.375258,0.968966,0.409962,0.902299
flask,flask_W01,3.0.0,3.0.1,1348,20,5,0.980712,0.994065,0.750000,0.900000
flask,flask_W02,3.0.1,3.0.2,28,4,3,0.428571,0.999999,0.500000,1.000000
flask,flask_W03,3.0.2,3.0.3,786,6,2,0.916031,1.000000,0.833333,1.000000
flask,flask_W04,3.0.3,3.1.0,2725,93,18,0.879633,0.971009,0.569892,0.827957
flask,flask_W05,3.1.0,3.1.1,3038,21,8,0.981567,0.992429,0.666667,0.761905
flask,flask_W06,3.1.1,3.1.2,1803,20,6,0.977815,0.996118,0.750000,0.850000
flask,flask_W07,3.1.2,3.1.3,3431,16,5,0.990965,0.997086,0.687500,0.875000
gin,gin_W01,v1.8.1,v1.8.2,145,4,4,0.489655,0.910345,0.250000,0.750000
gin,gin_W02,v1.8.2,v1.9.0,8007,84,33,0.609092,0.879731,0.357143,0.583334
gin,gin_W03,v1.9.0,v1.9.1,652,18,11,0.384969,0.699386,0.388889,0.555556
gin,gin_W04,v1.9.1,v1.10.0,1732,67,35,0.230947,0.502310,0.194030,0.462687
gin,gin_W05,v1.10.0,v1.10.1,17,1,1,1.000000,1.000000,1.000000,1.000000
gin,gin_W06,v1.10.1,v1.11.0,7085,126,62,0.225406,0.386591,0.166667,0.365080
gin,gin_W07,v1.11.0,v1.12.0,4441,95,36,0.296104,0.510245,0.305263,0.578947
junit5,junit5_W01,r6.0.0,r5.14.1,11472,215,11,0.751482,0.968358,0.748837,0.953489
junit5,junit5_W02,r5.14.1,r6.0.1,51221,841,21,0.744929,0.926808,0.590963,0.954815
junit5,junit5_W03,r6.0.1,r5.14.2,261920,295,13,0.976016,0.997591,0.806780,0.955932
junit5,junit5_W04,r5.14.2,r6.0.2,303621,978,22,0.940366,0.980050,0.634969,0.957055
junit5,junit5_W05,r6.0.2,r5.14.3,262116,305,14,0.975412,0.997433,0.803279,0.954099
junit5,junit5_W06,r5.14.3,r6.0.3,304002,989,22,0.939372,0.979510,0.635996,0.956522
junit5,junit5_W07,r6.0.3,r5.14.4,262451,319,17,0.974357,0.996350,0.796238,0.940439
prettier,prettier_W01,3.7.1,3.7.2,1006,13,7,0.715706,0.942347,0.538462,0.692308
prettier,prettier_W02,3.7.2,3.7.3,344,7,2,0.502907,1.000000,0.857143,1.000000
prettier,prettier_W03,3.7.3,3.7.4,3836,18,3,0.965068,1.000001,0.833333,1.000000
prettier,prettier_W04,3.7.4,3.8.0,1488,21,4,0.818548,0.998656,0.857143,0.952381
prettier,prettier_W05,3.8.0,3.8.1,675,9,2,0.905185,1.000000,0.888889,1.000000
prettier,prettier_W06,3.8.1,3.8.2,415,5,1,1.000000,1.000000,1.000000,1.000000
prettier,prettier_W07,3.8.2,3.8.3,430,8,2,0.865116,1.000000,0.875000,1.000000
requests,requests_W01,v2.30.0,v2.31.0,70,5,3,0.785714,0.999999,0.400000,1.000000
requests,requests_W02,v2.31.0,v2.32.0,1667,84,31,0.520696,0.782843,0.190476,0.476190
requests,requests_W03,v2.32.0,v2.32.1,12,1,1,1.000000,1.000000,1.000000,1.000000
