project_id,window_id,from_tag,to_tag,total_commits,total_churn,unique_authors,top1_share_commits,top3_share_commits,top1_share_churn,top3_share_churn,gini_commits,gini_churn
click,click_W01,8.1.6,8.1.7,8,69,5,0.375000,0.750000,0.449275,0.855072,0.250000,0.359420
click,click_W02,8.1.7,8.1.8,62,3227,20,0.322581,0.677419,0.449334,0.873257,0.583871,0.814797
click,click_W03,8.1.8,8.2.0,152,12011,27,0.282895,0.697368,0.492882,0.739988,0.701754,0.804306
click,click_W04,8.2.0,8.2.1,18,2912,8,0.388889,0.722222,0.653503,0.978365,0.402778,0.765453
click,click_W05,8.2.1,8.2.2,50,3133,16,0.260000,0.580000,0.366422,0.771465,0.505000,0.733582
click,click_W06,8.2.2,8.3.0,77,4695,14,0.519481,0.727273,0.701384,0.899042,0.642857,0.834064
click,click_W07,8.3.0,8.3.1,55,3129,18,0.200000,0.490909,0.340045,0.812400,0.471717,0.782412
flask,flask_W01,3.0.0,3.0.1,20,1348,5,0.750000,0.900000,0.980712,0.994065,0.580000,0.784866
flask,flask_W02,3.0.1,3.0.2,4,28,3,0.500000,1.000000,0.428571,1.000000,0.166667,0.166667
flask,flask_W03,3.0.2,3.0.3,6,786,2,0.833333,1.000000,0.916031,1.000000,0.333333,0.416031
flask,flask_W04,3.0.3,3.1.0,93,2725,18,0.569892,0.827957,0.879633,0.971009,0.723417,0.910887
flask,flask_W05,3.1.0,3.1.1,21,3038,8,0.666667,0.761905,0.981567,0.992429,0.541667,0.862574
flask,flask_W06,3.1.1,3.1.2,20,1803,6,0.750000,0.850000,0.977815,0.996118,0.583333,0.819652
flask,flask_W07,3.1.2,3.1.3,16,3431,5,0.687500,0.875000,0.990965,0.997085,0.525000,0.792772
requests,requests_W01,v2.30.0,v2.31.0,5,70,3,0.400000,1.000000,0.785714,1.000000,0.133333,0.504762
requests,requests_W02,v2.31.0,v2.32.0,84,1667,31,0.190476,0.476190,0.520696,0.782843,0.533026,0.822455
requests,requests_W03,v2.32.0,v2.32.1,1,12,1,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000
requests,requests_W04,v2.32.1,v2.32.2,3,55,1,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000
requests,requests_W05,v2.32.2,v2.32.3,5,131,2,0.800000,1.000000,0.648855,1.000000,0.300000,0.148855
requests,requests_W06,v2.32.3,v2.32.4,42,1106,16,0.214286,0.523810,0.501808,0.787523,0.452381,0.711912
requests,requests_W07,v2.32.4,v2.32.5,12,236,8,0.250000,0.583333,0.432203,0.911017,0.250000,0.638771
urllib3,urllib3_W01,2.2.3,2.3.0,30,2088,11,0.300000,0.733333,0.575192,0.960728,0.484848,0.774643
urllib3,urllib3_W02,2.3.0,2.4.0,27,3080,11,0.444444,0.703704,0.865909,0.936364,0.498316,0.839256
urllib3,urllib3_W03,2.4.0,2.5.0,16,1076,10,0.375000,0.562500,0.302045,0.773234,0.325000,0.597955
urllib3,urllib3_W04,2.5.0,2.6.0,59,6012,17,0.355932,0.711864,0.357452,0.887725,0.606181,0.791574
urllib3,urllib3_W05,2.6.0,2.6.1,2,30,1,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000
urllib3,urllib3_W06,2.6.1,2.6.2,2,65,1,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000
urllib3,urllib3_W07,2.6.2,2.6.3,12,335,5,0.416667,0.833333,0.695522,0.889552,0.366667,0.536119
