project_id,window_id,from_tag,to_tag,total_commits,total_churn,unique_authors,top1_share_commits,top3_share_commits,top1_share_churn,top3_share_churn,gini_commits,gini_churn
brew,brew_W01,5.1.1,5.1.2,107,10040,17,0.186916,0.429907,0.526195,0.671116,0.436504,0.686700
brew,brew_W02,5.1.2,5.1.3,4,2449,3,0.500000,1.000000,0.994283,1.000000,0.166667,0.661767
brew,brew_W03,5.1.3,5.1.4,53,12848,16,0.358491,0.528302,0.733344,0.887920,0.472877,0.845686
brew,brew_W04,5.1.4,5.1.5,8,1436,4,0.375000,0.875000,0.670613,0.996518,0.187500,0.569986
brew,brew_W05,5.1.5,5.1.6,71,5036,15,0.267606,0.549296,0.378674,0.809373,0.465728,0.729256
brew,brew_W06,5.1.6,5.1.7,67,8014,16,0.194030,0.522388,0.370352,0.675443,0.467351,0.677751
brew,brew_W07,5.1.7,5.1.8,68,3701,18,0.279412,0.573529,0.484734,0.681978,0.558824,0.715978
click,click_W01,8.1.6,8.1.7,8,69,5,0.375000,0.750000,0.449275,0.855072,0.250000,0.359420
click,click_W02,8.1.7,8.1.8,62,3227,20,0.322581,0.677419,0.449334,0.873257,0.583871,0.814797
click,click_W03,8.1.8,8.2.0,152,12011,27,0.282895,0.697368,0.492882,0.739988,0.701754,0.804306
click,click_W04,8.2.0,8.2.1,18,2912,8,0.388889,0.722222,0.653503,0.978365,0.402778,0.765453
click,click_W05,8.2.1,8.2.2,50,3133,16,0.260000,0.580000,0.366422,0.771465,0.505000,0.733582
click,click_W06,8.2.2,8.3.0,77,4695,14,0.519481,0.727273,0.701384,0.899042,0.642857,0.834064
click,click_W07,8.3.0,8.3.1,55,3129,18,0.200000,0.490909,0.340045,0.812400,0.471717,0.782412
curl,curl_W01,curl-8_14_0,curl-8_14_1,48,8435,9,0.395833,0.770833,0.431772,0.941909,0.546296,0.686663
curl,curl_W02,curl-8_14_1,curl-8_15_0,334,53344,37,0.455090,0.793413,0.537211,0.969069,0.812429,0.927663
