project_id,window_id,from_tag,to_tag,total_commits,total_churn,unique_authors,top1_share_commits,top3_share_commits,top1_share_churn,top3_share_churn,gini_commits,gini_churn
click,click_W01,8.1.6,8.1.7,7,63,4,0.428571,0.857143,0.492063,0.936508,0.250000,0.321429
click,click_W02,8.1.7,8.1.8,60,3197,19,0.333333,0.700000,0.453550,0.881451,0.591228,0.815534
click,click_W03,8.1.8,8.2.0,105,11781,24,0.380952,0.695238,0.502504,0.754435,0.669444,0.795826
click,click_W04,8.2.0,8.2.1,18,2912,8,0.388889,0.722222,0.653503,0.978365,0.402778,0.765453
click,click_W05,8.2.1,8.2.2,49,3132,15,0.265306,0.591837,0.366539,0.771711,0.503401,0.716390
click,click_W06,8.2.2,8.3.0,74,4689,13,0.540541,0.756757,0.702282,0.900192,0.654886,0.823170
click,click_W07,8.3.0,8.3.1,54,3127,17,0.203704,0.500000,0.340262,0.812920,0.468410,0.770744
flask,flask_W01,3.0.0,3.0.1,20,1348,5,0.750000,0.900000,0.980712,0.994065,0.580000,0.784866
flask,flask_W02,3.0.1,3.0.2,4,28,3,0.500000,1.000000,0.428571,1.000000,0.166667,0.166667
flask,flask_W03,3.0.2,3.0.3,6,786,2,0.833333,1.000000,0.916031,1.000000,0.333333,0.416031
flask,flask_W04,3.0.3,3.1.0,69,2501,16,0.768116,0.811594,0.958417,0.981208,0.718297,0.917508
flask,flask_W05,3.1.0,3.1.1,21,3038,8,0.666667,0.761905,0.981567,0.992429,0.541667,0.862574
flask,flask_W06,3.1.1,3.1.2,20,1803,6,0.750000,0.850000,0.977815,0.996118,0.583333,0.819652
flask,flask_W07,3.1.2,3.1.3,16,3431,5,0.687500,0.875000,0.990965,0.997085,0.525000,0.792772
requests,requests_W01,v2.30.0,v2.31.0,5,70,3,0.400000,1.000000,0.785714,1.000000,0.133333,0.504762
requests,requests_W02,v2.31.0,v2.32.0,69,1595,30,0.231884,0.463768,0.544201,0.806897,0.485507,0.830909
requests,requests_W03,v2.32.0,v2.32.1,1,12,1,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000
requests,requests_W04,v2.32.1,v2.32.2,3,55,1,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000
requests,requests_W05,v2.32.2,v2.32.3,5,131,2,0.800000,1.000000,0.648855,1.000000,0.300000,0.148855
requests,requests_W06,v2.32.3,v2.32.4,33,1038,15,0.242424,0.515152,0.534682,0.803468,0.408081,0.724599
requests,requests_W07,v2.32.4,v2.32.5,9,214,7,0.333333,0.555556,0.476636,0.939252,0.190476,0.646195
urllib3,urllib3_W01,2.2.3,2.3.0,25,2058,10,0.360000,0.720000,0.583576,0.974733,0.484000,0.763751
urllib3,urllib3_W02,2.3.0,2.4.0,22,3034,10,0.545455,0.681818,0.879038,0.950560,0.481818,0.839881
urllib3,urllib3_W03,2.4.0,2.5.0,14,1058,9,0.428571,0.571429,0.307183,0.786389,0.317460,0.572779
urllib3,urllib3_W04,2.5.0,2.6.0,38,5844,16,0.447368,0.631579,0.367728,0.913244,0.509868,0.791923
urllib3,urllib3_W05,2.6.0,2.6.1,2,30,1,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000
urllib3,urllib3_W06,2.6.1,2.6.2,2,65,1,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000
urllib3,urllib3_W07,2.6.2,2.6.3,8,319,4,0.625000,0.875000,0.730408,0.934169,0.375000,0.503918
