project_id,window_id,from_tag,to_tag,total_commits,total_churn,unique_authors,top1_share_commits,top3_share_commits,top1_share_churn,top3_share_churn,gini_commits,gini_churn
brew,brew_W01,5.1.1,5.1.2,88,9591,15,0.227273,0.477273,0.550829,0.702534,0.450000,0.693789
brew,brew_W02,5.1.2,5.1.3,4,2449,3,0.500000,1.000000,0.994283,1.000000,0.166667,0.661767
brew,brew_W03,5.1.3,5.1.4,44,11251,14,0.431818,0.590909,0.837437,0.935206,0.493506,0.867663
brew,brew_W04,5.1.4,5.1.5,8,1436,4,0.375000,0.875000,0.670613,0.996518,0.187500,0.569986
brew,brew_W05,5.1.5,5.1.6,54,4311,13,0.351852,0.574074,0.442357,0.885641,0.461538,0.756455
brew,brew_W06,5.1.6,5.1.7,56,7225,14,0.232143,0.625000,0.410796,0.749204,0.484694,0.692585
brew,brew_W07,5.1.7,5.1.8,57,3302,16,0.333333,0.649123,0.543307,0.734706,0.575658,0.737091
click,click_W01,8.1.6,8.1.7,7,63,4,0.428571,0.857143,0.492063,0.936508,0.250000,0.321429
click,click_W02,8.1.7,8.1.8,60,3197,19,0.333333,0.700000,0.453550,0.881451,0.591228,0.815534
click,click_W03,8.1.8,8.2.0,105,11781,24,0.380952,0.695238,0.502504,0.754435,0.669444,0.795826
click,click_W04,8.2.0,8.2.1,18,2912,8,0.388889,0.722222,0.653503,0.978365,0.402778,0.765453
click,click_W05,8.2.1,8.2.2,49,3132,15,0.265306,0.591837,0.366539,0.771711,0.503401,0.716390
click,click_W06,8.2.2,8.3.0,74,4689,13,0.540541,0.756757,0.702282,0.900192,0.654886,0.823170
click,click_W07,8.3.0,8.3.1,54,3127,17,0.203704,0.500000,0.340262,0.812920,0.468410,0.770744
curl,curl_W01,curl-8_14_0,curl-8_14_1,48,8435,9,0.395833,0.770833,0.431772,0.941909,0.546296,0.686663
curl,curl_W02,curl-8_14_1,curl-8_15_0,322,53294,36,0.472050,0.822981,0.537715,0.969978,0.817115,0.926469
curl,curl_W03,curl-8_15_0,curl-8_16_0,430,53794,31,0.448837,0.911628,0.454363,0.979421,0.853563,0.910850
curl,curl_W04,curl-8_16_0,curl-8_17_0,672,92001,21,0.422619,0.904762,0.740916,0.983055,0.838435,0.914054
curl,curl_W05,curl-8_17_0,curl-8_18_0,732,96942,35,0.459016,0.898907,0.584308,0.975047,0.879938,0.933066
curl,curl_W06,curl-8_18_0,curl-8_19_0,522,64126,35,0.616858,0.919540,0.657424,0.985373,0.880679,0.943628
curl,curl_W07,curl-8_19_0,curl-8_20_0,503,51661,26,0.425447,0.936382,0.376609,0.972455,0.858770,0.885880
flask,flask_W01,3.0.0,3.0.1,20,1348,5,0.750000,0.900000,0.980712,0.994065,0.580000,0.784866
flask,flask_W02,3.0.1,3.0.2,4,28,3,0.500000,1.000000,0.428571,1.000000,0.166667,0.166667
flask,flask_W03,3.0.2,3.0.3,6,786,2,0.833333,1.000000,0.916031,1.000000,0.333333,0.416031
flask,flask_W04,3.0.3,3.1.0,69,2501,16,0.768116,0.811594,0.958417,0.981208,0.718297,0.917508
flask,flask_W05,3.1.0,3.1.1,21,3038,8,0.666667,0.761905,0.981567,0.992429,0.541667,0.862574
flask,flask_W06,3.1.1,3.1.2,20,1803,6,0.750000,0.850000,0.977815,0.996118,0.583333,0.819652
flask,flask_W07,3.1.2,3.1.3,16,3431,5,0.687500,0.875000,0.990965,0.997085,0.525000,0.792772
gin,gin_W01,v1.8.1,v1.8.2,4,145,4,0.250000,0.750000,0.489655,0.910345,0.000000,0.305172
gin,gin_W02,v1.8.2,v1.9.0,54,7729,32,0.240741,0.388889,0.631000,0.910079,0.365741,0.901447
gin,gin_W03,v1.9.0,v1.9.1,11,596,10,0.181818,0.363636,0.421141,0.765101,0.081818,0.600336
gin,gin_W04,v1.9.1,v1.10.0,54,1608,34,0.240741,0.388889,0.248756,0.541045,0.343137,0.702883
gin,gin_W05,v1.10.0,v1.10.1,1,17,1,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000
gin,gin_W06,v1.10.1,v1.11.0,105,6753,61,0.123810,0.304762,0.236487,0.405598,0.377518,0.743854
gin,gin_W07,v1.11.0,v1.12.0,66,4095,35,0.287879,0.454545,0.321123,0.553358,0.430303,0.707860
junit5,junit5_W01,r6.0.0,r5.14.1,205,11444,10,0.785366,0.965854,0.753321,0.970727,0.820000,0.827420
junit5,junit5_W02,r5.14.1,r6.0.1,671,50672,20,0.740686,0.956781,0.753000,0.936849,0.891282,0.893730
junit5,junit5_W03,r6.0.1,r5.14.2,285,261892,12,0.835088,0.968421,0.976120,0.997698,0.855263,0.909613
junit5,junit5_W04,r5.14.2,r6.0.2,805,303066,21,0.771429,0.960248,0.942089,0.981846,0.900917,0.937878
junit5,junit5_W05,r6.0.2,r5.14.3,295,262088,13,0.830508,0.966102,0.975516,0.997539,0.861017,0.916178
junit5,junit5_W06,r5.14.3,r6.0.3,816,303447,21,0.770833,0.959559,0.941090,0.981302,0.900910,0.937564
junit5,junit5_W07,r6.0.3,r5.14.4,309,262423,16,0.822006,0.954693,0.974461,0.996456,0.870348,0.931144
prettier,prettier_W01,3.7.1,3.7.2,12,994,6,0.583333,0.750000,0.724346,0.953722,0.416667,0.670691
prettier,prettier_W02,3.7.2,3.7.3,7,344,2,0.857143,1.000000,0.502907,1.000000,0.357143,0.002907
prettier,prettier_W03,3.7.3,3.7.4,16,3812,2,0.937500,1.000000,0.971144,1.000000,0.437500,0.471144
prettier,prettier_W04,3.7.4,3.8.0,19,1447,2,0.947368,1.000000,0.841742,1.000000,0.447368,0.341742
