project_id,window_id,from_tag,to_tag,duration_days,is_short_lt_1d,is_short_lt_7d,is_short_lt_14d,analysis_set
click,click_W01,8.1.6,8.1.7,29.892269,False,False,False,primary
click,click_W02,8.1.7,8.1.8,489.986620,False,False,False,primary
click,click_W03,8.1.8,8.2.0,142.217014,False,False,False,primary
click,click_W04,8.2.0,8.2.1,10.036273,False,False,True,primary
click,click_W05,8.2.1,8.2.2,70.225521,False,False,False,primary
click,click_W06,8.2.2,8.3.0,45.047836,False,False,False,primary
click,click_W07,8.3.0,8.3.1,63.623542,False,False,False,primary
flask,flask_W01,3.0.0,3.0.1,110.230417,False,False,False,primary
flask,flask_W02,3.0.1,3.0.2,16.045394,False,False,False,primary
flask,flask_W03,3.0.2,3.0.3,63.928125,False,False,False,primary
flask,flask_W04,3.0.3,3.1.0,219.958657,False,False,False,primary
flask,flask_W05,3.1.0,3.1.1,180.856111,False,False,False,primary
flask,flask_W06,3.1.1,3.1.2,98.253426,False,False,False,primary
flask,flask_W07,3.1.2,3.1.3,183.332523,False,False,False,primary
requests,requests_W01,v2.30.0,v2.31.0,18.987500,False,False,False,primary
requests,requests_W02,v2.31.0,v2.32.0,364.017002,False,False,False,primary
requests,requests_W03,v2.32.0,v2.32.1,0.264271,True,True,True,sensitivity_only
requests,requests_W04,v2.32.1,v2.32.2,0.861725,True,True,True,sensitivity_only
requests,requests_W05,v2.32.2,v2.32.3,7.866655,False,False,True,primary
requests,requests_W06,v2.32.3,v2.32.4,376.043472,False,False,False,primary
requests,requests_W07,v2.32.4,v2.32.5,70.154711,False,False,False,primary
urllib3,urllib3_W01,2.2.3,2.3.0,100.871308,False,False,False,primary
urllib3,urllib3_W02,2.3.0,2.4.0,109.307627,False,False,False,primary
urllib3,urllib3_W03,2.4.0,2.5.0,68.957558,False,False,False,primary
urllib3,urllib3_W04,2.5.0,2.6.0,170.047083,False,False,False,primary
urllib3,urllib3_W05,2.6.0,2.6.1,3.001100,False,True,True,sensitivity_only
urllib3,urllib3_W06,2.6.1,2.6.2,3.027002,False,True,True,sensitivity_only
urllib3,urllib3_W07,2.6.2,2.6.3,27.023750,False,False,False,primary
