metric_signal_id,metric_family,metric_label,unit,project_id,full_n_windows,full_mean,full_median,full_std,full_iqr,full_cv,full_robust_iqr_over_median,full_median_adjacent_relative_change,full_max_adjacent_relative_change,full_volatility_class,primary_n_windows,primary_mean,primary_median,primary_std,primary_iqr,primary_cv,primary_robust_iqr_over_median,primary_median_adjacent_relative_change,primary_max_adjacent_relative_change,primary_volatility_class
M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,brew,7,217.648714,217.302000,2.047881,2.442500,0.009409,0.011240,0.007324,0.015918,low,2,219.145500,219.145500,2.607103,1.843500,0.011897,0.008412,0.016967,0.016967,low
M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,click,7,14.868143,14.615000,1.178055,1.572500,0.079233,0.107595,0.022230,0.080848,low,7,14.868143,14.615000,1.178055,1.572500,0.079233,0.107595,0.022230,0.080848,low
M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,curl,7,222.456000,222.519000,2.181179,2.879500,0.009805,0.012940,0.009355,0.025769,low,7,222.456000,222.519000,2.181179,2.879500,0.009805,0.012940,0.009355,0.025769,low
M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,flask,7,12.848571,12.951000,0.140619,0.251500,0.010944,0.019419,0.001003,0.018393,low,7,12.848571,12.951000,0.140619,0.251500,0.010944,0.019419,0.001003,0.018393,low
M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,gin,7,14.904429,14.440000,1.655154,1.647000,0.111051,0.114058,0.030987,0.133564,low,7,14.904429,14.440000,1.655154,1.647000,0.111051,0.114058,0.030987,0.133564,low
M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,junit5,7,132.837429,132.790000,0.218065,0.345500,0.001642,0.002602,0.003471,0.004004,low,4,132.678250,132.654000,0.081884,0.096250,0.000617,0.000726,0.000528,0.001318,low
M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,prettier,7,113.087429,113.179000,0.174890,0.197500,0.001547,0.001745,0.000124,0.002854,low,2,113.194000,113.194000,0.021213,0.015000,0.000187,0.000133,0.000265,0.000265,low
M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,requests,7,8.298571,8.315000,0.150899,0.106500,0.018184,0.012808,0.004313,0.038592,low,5,8.297200,8.379000,0.184562,0.123000,0.022244,0.014680,0.008174,0.038592,low
M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,tokio,7,92.937000,94.055000,3.163565,2.147000,0.034040,0.022827,0.010391,0.090682,low,2,89.663000,89.663000,4.847924,3.428000,0.054068,0.038232,0.073648,0.073648,low
M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,urllib3,7,24.898143,25.159000,0.394589,0.603500,0.015848,0.023987,0.003188,0.017183,low,5,24.782800,24.734000,0.418516,0.727000,0.016887,0.029393,0.008297,0.017183,low
M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,brew,7,6.436092,6.306104,4.009511,4.444414,0.622973,0.704780,0.661458,1.203946,moderate,2,3.990086,3.990086,3.275344,2.316018,0.820871,0.580443,0.734532,0.734532,high
M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,click,7,5.583281,3.006551,6.774505,4.522614,1.213356,1.504253,1.641897,11.214507,high,7,5.583281,3.006551,6.774505,4.522614,1.213356,1.504253,1.641897,11.214507,high
M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,curl,7,5.579914,5.364139,1.176650,1.641905,0.210872,0.306089,0.150746,0.698033,low,7,5.579914,5.364139,1.176650,1.641905,0.210872,0.306089,0.150746,0.698033,low
M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,flask,7,1.016433,0.967823,0.450004,0.429999,0.442728,0.444295,0.278295,6.035415,moderate,7,1.016433,0.967823,0.450004,0.429999,0.442728,0.444295,0.278295,6.035415,moderate
M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,gin,7,2.167921,0.434137,3.389659,2.326252,1.563553,5.358336,0.972028,1143.041787,high,7,2.167921,0.434137,3.389659,2.326252,1.563553,5.358336,0.972028,1143.041787,high
M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,junit5,7,20664.703091,49.480339,34399.107955,34590.358303,1.664631,699.072783,513.073064,2250.981838,high,4,27.491833,28.865078,19.147372,12.617316,0.696475,0.437114,0.677904,9.696822,moderate
M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,prettier,7,3.087717,0.884594,3.716126,4.377064,1.203519,4.948106,1.385500,15.452398,high,2,0.172742,0.172742,0.178132,0.125958,1.031200,0.729168,0.843375,0.843375,high
M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,requests,7,2.407574,0.538619,2.979454,3.324186,1.237534,6.171683,0.571950,9.170638,high,5,0.737390,0.462419,0.707922,0.176274,0.960038,0.381200,0.500056,2.703984,high
M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,tokio,7,111.038968,3.911153,187.348211,175.681035,1.687229,44.917965,0.997897,15676.529716,high,2,0.294280,0.294280,0.384741,0.272053,1.307398,0.924470,0.960753,0.960753,high
M2_churn_per_kloc_day,M2,M2 churn/KLOC/day,lines per KLOC-day,urllib3,7,0.815366,0.849686,0.354794,0.449554,0.435134,0.529083,0.581711,1.207306,moderate,5,0.891544,0.849686,0.370830,0.514351,0.415942,0.605342,0.556104,1.207306,moderate
M3_commits_per_day,M3,M3 commits/day,commits per day,brew,7,8.183465,7.517738,3.237863,5.075579,0.395659,0.675147,0.519424,0.885570,moderate,2,9.404581,9.404581,4.307991,3.046210,0.458074,0.323907,0.489320,0.489320,moderate
M3_commits_per_day,M3,M3 commits/day,commits per day,click,7,0.868231,0.738308,0.640371,0.779757,0.737558,1.056141,0.982613,5.029367,moderate,7,0.868231,0.738308,0.640371,0.779757,0.737558,1.056141,0.982613,5.029367,moderate
M3_commits_per_day,M3,M3 commits/day,commits per day,curl,7,9.195673,8.286690,2.072742,3.274908,0.225404,0.395201,0.178592,0.560560,low,7,9.195673,8.286690,2.072742,3.274908,0.225404,0.395201,0.178592,0.560560,low
M3_commits_per_day,M3,M3 commits/day,commits per day,flask,7,0.177889,0.181438,0.084953,0.121440,0.477563,0.669317,0.626683,2.342337,moderate,7,0.177889,0.181438,0.084953,0.121440,0.477563,0.669317,0.626683,2.342337,moderate
M3_commits_per_day,M3,M3 commits/day,commits per day,gin,7,0.348916,0.158339,0.380710,0.566368,1.091121,3.576936,0.929526,321.638805,high,7,0.348916,0.158339,0.380710,0.566368,1.091121,3.576936,0.929526,321.638805,high
M3_commits_per_day,M3,M3 commits/day,commits per day,junit5,7,7906.097284,7.398961,11975.568691,14199.878597,1.514726,1919.171975,379.580959,5499.101220,high,4,5.658803,5.487804,1.562253,2.386289,0.276075,0.434835,0.402619,0.736584,moderate
M3_commits_per_day,M3,M3 commits/day,commits per day,prettier,7,3.535044,1.621230,3.588823,5.445103,1.015213,3.358624,0.928314,24.409535,high,2,0.253833,0.253833,0.268741,0.190028,1.058733,0.748637,0.856252,0.856252,high
M3_commits_per_day,M3,M3 commits/day,commits per day,requests,7,1.224273,0.263331,1.657318,1.899572,1.353717,7.213630,0.639651,18.962844,high,5,0.260904,0.189552,0.219691,0.135043,0.842038,0.712432,0.661901,2.353138,high
