project_id,window_id,window_index,from_tag,to_tag,duration_days,analysis_set,metric_signal_id,metric_family,metric_label,unit,value
brew,brew_W01,1,5.1.1,5.1.2,7.067824,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,217.302000
brew,brew_W02,2,5.1.2,5.1.3,0.826516,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,218.495000
brew,brew_W03,3,5.1.3,5.1.4,5.852824,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,215.017000
brew,brew_W04,4,5.1.4,5.1.5,1.677627,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,215.705000
brew,brew_W05,5,5.1.5,5.1.6,6.005602,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,216.969000
brew,brew_W06,6,5.1.6,5.1.7,4.531655,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,219.064000
brew,brew_W07,7,5.1.7,5.1.8,8.964560,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,220.989000
click,click_W01,1,8.1.6,8.1.7,29.892269,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,13.457000
click,click_W02,2,8.1.7,8.1.8,489.986620,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,13.652000
click,click_W03,3,8.1.8,8.2.0,142.217014,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,14.526000
click,click_W04,4,8.2.0,8.2.1,10.036273,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,14.615000
click,click_W05,5,8.2.1,8.2.2,70.225521,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,15.053000
click,click_W06,6,8.2.2,8.3.0,45.047836,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,16.270000
click,click_W07,7,8.3.0,8.3.1,63.623542,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,16.504000
curl,curl_W01,1,curl-8_14_0,curl-8_14_1,7.000139,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,224.698000
curl,curl_W02,2,curl-8_14_1,curl-8_15_0,42.027778,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,219.978000
curl,curl_W03,3,curl-8_15_0,curl-8_16_0,55.973414,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,221.532000
curl,curl_W04,4,curl-8_16_0,curl-8_17_0,56.053426,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,222.519000
curl,curl_W05,5,curl-8_17_0,curl-8_18_0,62.997975,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,222.660000
curl,curl_W06,6,curl-8_18_0,curl-8_19_0,62.992581,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,220.067000
curl,curl_W07,7,curl-8_19_0,curl-8_20_0,48.957523,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,225.738000
flask,flask_W01,1,3.0.0,3.0.1,110.230417,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,12.685000
flask,flask_W02,2,3.0.1,3.0.2,16.045394,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,12.690000
flask,flask_W03,3,3.0.2,3.0.3,63.928125,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,12.722000
flask,flask_W04,4,3.0.3,3.1.0,219.958657,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,12.956000
flask,flask_W05,5,3.1.0,3.1.1,180.856111,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,12.951000
flask,flask_W06,6,3.1.1,3.1.2,98.253426,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,12.959000
flask,flask_W07,7,3.1.2,3.1.3,183.332523,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,12.977000
gin,gin_W01,1,v1.8.1,v1.8.2,199.026215,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,13.551000
gin,gin_W02,2,v1.8.2,v1.9.0,60.820220,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,13.749000
gin,gin_W03,3,v1.9.0,v1.9.1,99.712361,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,13.787000
gin,gin_W04,4,v1.9.1,v1.10.0,341.039838,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,14.440000
gin,gin_W05,5,v1.10.0,v1.10.1,378.257002,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,14.450000
gin,gin_W06,6,v1.10.1,v1.11.0,123.086748,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,16.380000
gin,gin_W07,7,v1.11.0,v1.12.0,160.938507,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,17.974000
junit5,junit5_W01,1,r6.0.0,r5.14.1,31.270926,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,132.790000
junit5,junit5_W02,2,r5.14.1,r6.0.1,0.134826,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,132.917000
junit5,junit5_W03,3,r6.0.1,r5.14.2,66.891331,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,132.615000
junit5,junit5_W04,4,r5.14.2,r6.0.2,0.034352,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,133.082000
junit5,junit5_W05,5,r6.0.2,r5.14.3,39.870463,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,132.619000
junit5,junit5_W06,6,r5.14.3,r6.0.3,0.030324,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,133.150000
junit5,junit5_W07,7,r6.0.3,r5.14.4,69.909537,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,132.689000
prettier,prettier_W01,1,3.7.1,3.7.2,1.393322,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,112.829000
prettier,prettier_W02,2,3.7.2,3.7.3,0.872280,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,112.837000
prettier,prettier_W03,3,3.7.3,3.7.4,3.445278,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,113.159000
prettier,prettier_W04,4,3.7.4,3.8.0,42.806169,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,113.179000
prettier,prettier_W05,5,3.8.0,3.8.1,6.741991,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,113.182000
prettier,prettier_W06,6,3.8.1,3.8.2,78.364560,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,113.209000
prettier,prettier_W07,7,3.8.2,3.8.3,4.934525,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,113.217000
requests,requests_W01,1,v2.30.0,v2.31.0,18.987500,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,7.981000
requests,requests_W02,2,v2.31.0,v2.32.0,364.017002,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,8.289000
requests,requests_W03,3,v2.32.0,v2.32.1,0.264271,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,8.289000
requests,requests_W04,4,v2.32.1,v2.32.2,0.861725,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,8.315000
requests,requests_W05,5,v2.32.2,v2.32.3,7.866655,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,8.379000
requests,requests_W06,6,v2.32.3,v2.32.4,376.043472,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,8.425000
requests,requests_W07,7,v2.32.4,v2.32.5,70.154711,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,8.412000
tokio,tokio_W01,1,tokio-1.47.3,tokio-1.49.0,0.577118,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,92.204000
tokio,tokio_W02,2,tokio-1.49.0,tokio-1.50.0,58.986782,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,93.091000
tokio,tokio_W03,3,tokio-1.50.0,tokio-1.47.4,30.105833,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,86.235000
tokio,tokio_W04,4,tokio-1.47.4,tokio-1.51.0,0.854155,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,94.055000
tokio,tokio_W05,5,tokio-1.51.0,tokio-1.51.1,5.080312,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,94.332000
tokio,tokio_W06,6,tokio-1.51.1,tokio-1.52.0,6.346030,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,95.385000
tokio,tokio_W07,7,tokio-1.52.0,tokio-1.52.1,2.105602,sensitivity_only,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,95.257000
urllib3,urllib3_W01,1,2.2.3,2.3.0,100.871308,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,24.329000
urllib3,urllib3_W02,2,2.3.0,2.4.0,109.307627,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,24.432000
urllib3,urllib3_W03,3,2.4.0,2.5.0,68.957558,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,24.734000
urllib3,urllib3_W04,4,2.5.0,2.6.0,170.047083,primary,M1_endpoint_kloc,M1,M1 endpoint KLOC,KLOC,25.159000
