metric_signal_id,metric_family,metric_label,project_id,from_window_id,to_window_id,from_window_index,to_window_index,from_analysis_set,to_analysis_set,both_primary,common_developers,union_developers,common_developer_share,spearman_rank_correlation
M2_developer_churn_per_day,M2,M2 developer churn/day,brew,brew_W01,brew_W02,1,2,primary,sensitivity_only,False,2,16,0.125000,1.000000
M2_developer_churn_per_day,M2,M2 developer churn/day,brew,brew_W02,brew_W03,2,3,sensitivity_only,sensitivity_only,False,2,15,0.133333,-1.000000
M2_developer_churn_per_day,M2,M2 developer churn/day,brew,brew_W03,brew_W04,3,4,sensitivity_only,sensitivity_only,False,3,15,0.200000,1.000000
M2_developer_churn_per_day,M2,M2 developer churn/day,brew,brew_W04,brew_W05,4,5,sensitivity_only,sensitivity_only,False,2,15,0.133333,-1.000000
M2_developer_churn_per_day,M2,M2 developer churn/day,brew,brew_W05,brew_W06,5,6,sensitivity_only,sensitivity_only,False,6,21,0.285714,0.828571
M2_developer_churn_per_day,M2,M2 developer churn/day,brew,brew_W06,brew_W07,6,7,sensitivity_only,primary,False,6,24,0.250000,0.485714
M2_developer_churn_per_day,M2,M2 developer churn/day,click,click_W01,click_W02,1,2,primary,primary,True,1,22,0.045455,
M2_developer_churn_per_day,M2,M2 developer churn/day,click,click_W02,click_W03,2,3,primary,primary,True,5,38,0.131579,0.900000
M2_developer_churn_per_day,M2,M2 developer churn/day,click,click_W03,click_W04,3,4,primary,primary,True,2,30,0.066667,1.000000
M2_developer_churn_per_day,M2,M2 developer churn/day,click,click_W04,click_W05,4,5,primary,primary,True,3,20,0.150000,1.000000
M2_developer_churn_per_day,M2,M2 developer churn/day,click,click_W05,click_W06,5,6,primary,primary,True,4,24,0.166667,0.800000
M2_developer_churn_per_day,M2,M2 developer churn/day,click,click_W06,click_W07,6,7,primary,primary,True,4,26,0.153846,0.800000
M2_developer_churn_per_day,M2,M2 developer churn/day,curl,curl_W01,curl_W02,1,2,primary,primary,True,5,40,0.125000,0.400000
M2_developer_churn_per_day,M2,M2 developer churn/day,curl,curl_W02,curl_W03,2,3,primary,primary,True,9,58,0.155172,0.669462
M2_developer_churn_per_day,M2,M2 developer churn/day,curl,curl_W03,curl_W04,3,4,primary,primary,True,7,45,0.155556,0.964286
M2_developer_churn_per_day,M2,M2 developer churn/day,curl,curl_W04,curl_W05,4,5,primary,primary,True,11,45,0.244444,0.781818
M2_developer_churn_per_day,M2,M2 developer churn/day,curl,curl_W05,curl_W06,5,6,primary,primary,True,8,62,0.129032,0.761905
M2_developer_churn_per_day,M2,M2 developer churn/day,curl,curl_W06,curl_W07,6,7,primary,primary,True,7,54,0.129630,0.571429
M2_developer_churn_per_day,M2,M2 developer churn/day,flask,flask_W01,flask_W02,1,2,primary,primary,True,1,7,0.142857,
M2_developer_churn_per_day,M2,M2 developer churn/day,flask,flask_W02,flask_W03,2,3,primary,primary,True,1,4,0.250000,
M2_developer_churn_per_day,M2,M2 developer churn/day,flask,flask_W03,flask_W04,3,4,primary,primary,True,2,16,0.125000,1.000000
M2_developer_churn_per_day,M2,M2 developer churn/day,flask,flask_W04,flask_W05,4,5,primary,primary,True,1,23,0.043478,
M2_developer_churn_per_day,M2,M2 developer churn/day,flask,flask_W05,flask_W06,5,6,primary,primary,True,1,13,0.076923,
M2_developer_churn_per_day,M2,M2 developer churn/day,flask,flask_W06,flask_W07,6,7,primary,primary,True,1,10,0.100000,
M2_developer_churn_per_day,M2,M2 developer churn/day,gin,gin_W01,gin_W02,1,2,primary,primary,True,4,32,0.125000,-0.600000
M2_developer_churn_per_day,M2,M2 developer churn/day,gin,gin_W02,gin_W03,2,3,primary,primary,True,4,38,0.105263,1.000000
M2_developer_churn_per_day,M2,M2 developer churn/day,gin,gin_W03,gin_W04,3,4,primary,primary,True,1,43,0.023256,
