project_id,window_id,from_tag,to_tag,ancestry_status,eligible_for_baseline_poc,human_developers,zero_churn_human_developers,recomputed_total_commits,frozen_total_commits,recomputed_total_added,frozen_total_added,recomputed_total_deleted,frozen_total_deleted,recomputed_total_churn,frozen_total_churn,recomputed_top1_share_churn_12dp,frozen_top1_share_churn_6dp,recomputed_gini_churn_12dp,frozen_gini_churn_6dp,c1_top1_share_churn_6dp,c1_gini_churn_6dp,sum_exact_shares_12dp,sum_metric_value_ppm,ppm_sum_deviation_from_scale,developer_rows_valid,totals_match,ownership_summary_matches,c1_source_values_match,window_metadata_match,window_validation_status
brew,brew_W01,5.1.1,5.1.2,ancestral,true,15,0,88,88,8096,8096,1495,1495,9591,9591,0.550828902096,0.550829,0.693789316373,0.693789,0.550829,0.693789,1.000000000000,1000000,0,true,true,true,true,true,pass
brew,brew_W02,5.1.2,5.1.3,ancestral,true,3,0,4,4,2441,2441,8,8,2449,2449,0.994283380972,0.994283,0.661766707500,0.661767,0.994283,0.661767,1.000000000000,999999,-1,true,true,true,true,true,pass
brew,brew_W03,5.1.3,5.1.4,ancestral,true,14,0,44,44,3231,3231,8020,8020,11251,11251,0.837436672296,0.837437,0.867662556979,0.867663,0.837437,0.867663,1.000000000000,1000001,1,true,true,true,true,true,pass
brew,brew_W04,5.1.4,5.1.5,ancestral,true,4,0,8,8,1127,1127,309,309,1436,1436,0.670612813370,0.670613,0.569986072423,0.569986,0.670613,0.569986,1.000000000000,1000000,0,true,true,true,true,true,pass
brew,brew_W05,5.1.5,5.1.6,ancestral,true,13,0,54,54,2873,2873,1438,1438,4311,4311,0.442356761772,0.442357,0.756454865014,0.756455,0.442357,0.756455,1.000000000000,1000000,0,true,true,true,true,true,pass
brew,brew_W06,5.1.6,5.1.7,ancestral,true,14,0,56,56,4805,4805,2420,2420,7225,7225,0.410795847751,0.410796,0.692585269402,0.692585,0.410796,0.692585,1.000000000000,1000000,0,true,true,true,true,true,pass
brew,brew_W07,5.1.7,5.1.8,ancestral,true,16,1,57,57,2798,2798,504,504,3302,3302,0.543307086614,0.543307,0.737091156875,0.737091,0.543307,0.737091,1.000000000000,1000000,0,true,true,true,true,true,pass
click,click_W01,8.1.6,8.1.7,ancestral,true,4,0,7,7,38,38,25,25,63,63,0.492063492063,0.492063,0.321428571429,0.321429,0.492063,0.321429,1.000000000000,999999,-1,true,true,true,true,true,pass
click,click_W02,8.1.7,8.1.8,ancestral,true,19,0,60,60,1767,1767,1430,1430,3197,3197,0.453550203316,0.453550,0.815534300249,0.815534,0.453550,0.815534,1.000000000000,1000000,0,true,true,true,true,true,pass
click,click_W03,8.1.8,8.2.0,ancestral,true,24,0,105,105,6511,6511,5270,5270,11781,11781,0.502504031916,0.502504,0.795825906120,0.795826,0.502504,0.795826,1.000000000000,1000001,1,true,true,true,true,true,pass
click,click_W04,8.2.0,8.2.1,ancestral,true,8,0,18,18,2027,2027,885,885,2912,2912,0.653502747253,0.653503,0.765453296703,0.765453,0.653503,0.765453,1.000000000000,1000001,1,true,true,true,true,true,pass
