project_id,window_id,from_tag,to_tag,total_churn,total_commits,unique_authors,top1_share_churn,top3_share_churn,top1_share_commits,top3_share_commits
click,click_W01,8.1.6,8.1.7,69,8,5,0.449275,0.855073,0.375000,0.750000
click,click_W02,8.1.7,8.1.8,3227,62,21,0.449334,0.853734,0.274194,0.629033
click,click_W03,8.1.8,8.2.0,12011,152,28,0.492882,0.738490,0.282895,0.671053
click,click_W04,8.2.0,8.2.1,2912,18,9,0.653503,0.975275,0.388889,0.666667
click,click_W05,8.2.1,8.2.2,3133,50,16,0.366422,0.771465,0.260000,0.580000
click,click_W06,8.2.2,8.3.0,4695,77,15,0.701384,0.899041,0.519481,0.701299
click,click_W07,8.3.0,8.3.1,3129,55,18,0.340045,0.812401,0.200000,0.490909
flask,flask_W01,3.0.0,3.0.1,1348,20,5,0.980712,0.994065,0.750000,0.900000
flask,flask_W02,3.0.1,3.0.2,28,4,3,0.428571,0.999999,0.500000,1.000000
flask,flask_W03,3.0.2,3.0.3,786,6,2,0.916031,1.000000,0.833333,1.000000
flask,flask_W04,3.0.3,3.1.0,2725,93,18,0.879633,0.971009,0.569892,0.827957
flask,flask_W05,3.1.0,3.1.1,3038,21,8,0.981567,0.992429,0.666667,0.761905
flask,flask_W06,3.1.1,3.1.2,1803,20,6,0.977815,0.996118,0.750000,0.850000
flask,flask_W07,3.1.2,3.1.3,3431,16,5,0.990965,0.997086,0.687500,0.875000
requests,requests_W01,v2.30.0,v2.31.0,70,5,3,0.785714,0.999999,0.400000,1.000000
requests,requests_W02,v2.31.0,v2.32.0,1667,84,31,0.520696,0.782843,0.190476,0.476190
requests,requests_W03,v2.32.0,v2.32.1,12,1,1,1.000000,1.000000,1.000000,1.000000
requests,requests_W04,v2.32.1,v2.32.2,55,3,1,1.000000,1.000000,1.000000,1.000000
requests,requests_W05,v2.32.2,v2.32.3,131,5,2,0.648855,1.000000,0.800000,1.000000
requests,requests_W06,v2.32.3,v2.32.4,1106,42,16,0.501808,0.787522,0.214286,0.523810
requests,requests_W07,v2.32.4,v2.32.5,236,12,8,0.432203,0.911016,0.250000,0.583333
urllib3,urllib3_W01,2.2.3,2.3.0,2088,30,11,0.575192,0.960729,0.300000,0.733334
urllib3,urllib3_W02,2.3.0,2.4.0,3080,27,11,0.865909,0.936363,0.444444,0.703703
urllib3,urllib3_W03,2.4.0,2.5.0,1076,16,10,0.302045,0.773234,0.375000,0.562500
urllib3,urllib3_W04,2.5.0,2.6.0,6012,59,17,0.357452,0.887725,0.355932,0.711865
urllib3,urllib3_W05,2.6.0,2.6.1,30,2,1,1.000000,1.000000,1.000000,1.000000
urllib3,urllib3_W06,2.6.1,2.6.2,65,2,1,1.000000,1.000000,1.000000,1.000000
urllib3,urllib3_W07,2.6.2,2.6.3,335,12,5,0.695522,0.889552,0.416667,0.833333
