"project_id","window_id","from_tag","to_tag","from_hash","to_hash","from_date","to_date"
"click","click_W01","8.1.6","8.1.7","3793f5b2d79d5999552b970bf17c37588efcf008","874ca2bc1c30d93a4ac6e36a15ed685eafe89097","2023-07-18 13:00:26 -07:00","2023-08-17 10:25:18 -07:00"
"click","click_W02","8.1.7","8.1.8","874ca2bc1c30d93a4ac6e36a15ed685eafe89097","934813e4d421071a1b3db3973c02fe2721359a6e","2023-08-17 10:25:18 -07:00","2024-12-19 18:06:02 +01:00"
"click","click_W03","8.1.8","8.2.0","934813e4d421071a1b3db3973c02fe2721359a6e","219206a18666624072fdbb803901e5eb7ce575a1","2024-12-19 18:06:02 +01:00","2025-05-10 15:18:32 -07:00"
"click","click_W04","8.2.0","8.2.1","219206a18666624072fdbb803901e5eb7ce575a1","fd183b2ced1cb5857784fe7fb22f4982f671f098","2025-05-10 15:18:32 -07:00","2025-05-20 19:10:46 -04:00"
"click","click_W05","8.2.1","8.2.2","fd183b2ced1cb5857784fe7fb22f4982f671f098","f7cdff5cfc614f34025d1fc238642be029dca1f3","2025-05-20 19:10:46 -04:00","2025-07-29 21:35:31 -07:00"
"click","click_W06","8.2.2","8.3.0","f7cdff5cfc614f34025d1fc238642be029dca1f3","00fadb8904387158ce6e9aa1573be770446895c1","2025-07-29 21:35:31 -07:00","2025-09-12 22:44:24 -07:00"
"click","click_W07","8.3.0","8.3.1","00fadb8904387158ce6e9aa1573be770446895c1","1d038f270701498433cb432f54db89f95f07a845","2025-09-12 22:44:24 -07:00","2025-11-15 12:42:18 -08:00"
"flask","flask_W01","3.0.0","3.0.1","735a4701d6d5e848241e7d7535db898efb62d400","f622b1cadea2bed4ea4cc476695e9c181ec5da11","2023-09-30 15:26:06 +01:00","2024-01-18 11:57:54 -08:00"
"flask","flask_W02","3.0.1","3.0.2","f622b1cadea2bed4ea4cc476695e9c181ec5da11","d2030595dcdc8ca5701504f00255360fb12a3a2b","2024-01-18 11:57:54 -08:00","2024-02-03 13:03:16 -08:00"
"flask","flask_W03","3.0.2","3.0.3","d2030595dcdc8ca5701504f00255360fb12a3a2b","c12a5d874c5a014495eb2db8a73f40037bc813ac","2024-02-03 13:03:16 -08:00","2024-04-07 12:19:46 -07:00"
"flask","flask_W04","3.0.3","3.1.0","c12a5d874c5a014495eb2db8a73f40037bc813ac","ab8149664182b662453a563161aa89013c806dc9","2024-04-07 12:19:46 -07:00","2024-11-13 10:20:14 -08:00"
"flask","flask_W05","3.1.0","3.1.1","ab8149664182b662453a563161aa89013c806dc9","7fff56f5172c48b6f3aedf17ee14ef5c2533dfd1","2024-11-13 10:20:14 -08:00","2025-05-13 07:53:02 -07:00"
"flask","flask_W06","3.1.1","3.1.2","7fff56f5172c48b6f3aedf17ee14ef5c2533dfd1","2c1b30d0503cfb064f1cb252e6614a06915a362a","2025-05-13 07:53:02 -07:00","2025-08-19 13:57:58 -07:00"
"flask","flask_W07","3.1.2","3.1.3","2c1b30d0503cfb064f1cb252e6614a06915a362a","22d924701a6ae2e4cd01e9a15bbaf3946094af65","2025-08-19 13:57:58 -07:00","2026-02-18 20:56:48 -08:00"
"requests","requests_W01","v2.30.0","v2.31.0","2ad18e0e10e7d7ecd5384c378f25ec8821a10a29","147c8511ddbfa5e8f71bbf5c18ede0c4ceb3bba4","2023-05-03 09:42:03 -06:00","2023-05-22 09:24:03 -06:00"
"requests","requests_W02","v2.31.0","v2.32.0","147c8511ddbfa5e8f71bbf5c18ede0c4ceb3bba4","d6ebc4a2f1f68b7e355fb7e4dd5ffc0845547f9f","2023-05-22 09:24:03 -06:00","2024-05-20 08:48:32 -07:00"
"requests","requests_W03","v2.32.0","v2.32.1","d6ebc4a2f1f68b7e355fb7e4dd5ffc0845547f9f","970e8cec988421bd43da57350723b05c8ce8dc7e","2024-05-20 08:48:32 -07:00","2024-05-20 15:09:05 -07:00"
"requests","requests_W04","v2.32.1","v2.32.2","970e8cec988421bd43da57350723b05c8ce8dc7e","88dce9d854797c05d0ff296b70e0430535ef8aaf","2024-05-20 15:09:05 -07:00","2024-05-21 11:49:58 -07:00"
"requests","requests_W05","v2.32.2","v2.32.3","88dce9d854797c05d0ff296b70e0430535ef8aaf","0e322af87745eff34caffe4df68456ebc20d9068","2024-05-21 11:49:58 -07:00","2024-05-29 08:37:57 -07:00"
"requests","requests_W06","v2.32.3","v2.32.4","0e322af87745eff34caffe4df68456ebc20d9068","021dc729f0b71a3030cefdbec7fb57a0e80a6cfd","2024-05-29 08:37:57 -07:00","2025-06-09 11:40:33 -05:00"
"requests","requests_W07","v2.32.4","v2.32.5","021dc729f0b71a3030cefdbec7fb57a0e80a6cfd","b25c87d7cb8d6a18a37fa12442b5f883f9e41741","2025-06-09 11:40:33 -05:00","2025-08-18 13:23:20 -07:00"
"urllib3","urllib3_W01","2.2.3","2.3.0","2458bfcd3dacdf6c196e98d077fc6bb02a5fc1df","2f68c5363ef632d73dd4d9300289d7ce5ff275b4","2024-09-12 14:40:15 +04:00","2024-12-22 11:34:56 +04:00"
"urllib3","urllib3_W02","2.3.0","2.4.0","2f68c5363ef632d73dd4d9300289d7ce5ff275b4","a5ff7ac3bbb8659e2ec3ed41dd43889f06a7d7bc","2024-12-22 11:34:56 +04:00","2025-04-10 17:57:55 +03:00"
"urllib3","urllib3_W03","2.4.0","2.5.0","a5ff7ac3bbb8659e2ec3ed41dd43889f06a7d7bc","aaab4eccc10c965897540b21e15f11859d0b62e7","2025-04-10 17:57:55 +03:00","2025-06-18 16:56:48 +03:00"
"urllib3","urllib3_W04","2.5.0","2.6.0","aaab4eccc10c965897540b21e15f11859d0b62e7","720f484b605f18887a48eef448d0084e2b76902d","2025-06-18 16:56:48 +03:00","2025-12-05 17:04:36 +02:00"
"urllib3","urllib3_W05","2.6.0","2.6.1","720f484b605f18887a48eef448d0084e2b76902d","bfe8e198a13800e3ee8ef8124a8928acb170c843","2025-12-05 17:04:36 +02:00","2025-12-08 17:06:11 +02:00"
"urllib3","urllib3_W06","2.6.1","2.6.2","bfe8e198a13800e3ee8ef8124a8928acb170c843","83f8643ffb5b7f197457379148e2fa118ab0fcdc","2025-12-08 17:06:11 +02:00","2025-12-11 17:45:04 +02:00"
"urllib3","urllib3_W07","2.6.2","2.6.3","83f8643ffb5b7f197457379148e2fa118ab0fcdc","0248277dd7ac0239204889ca991353ad3e3a1ddc","2025-12-11 17:45:04 +02:00","2026-01-07 18:19:16 +02:00"
